"zip","city","county","pop"
"24179","Vinton","Roanoke","18416"
"22046","Falls Church","Falls Church City","18401"
"22066","Great Falls","Fairfax","18332"
"22124","Oakton","Fairfax","18216"
"22151","Springfield","Fairfax","18210"
"23692","Yorktown","York","18201"
"23294","Richmond","Henrico","18168"
"22039","Fairfax Station","Fairfax","17947"
"23704","Portsmouth","Portsmouth City","17920"
"22305","Alexandria","Alexandria City","17783"
"22302","Alexandria","Alexandria City","17776"
"24333","Galax","Galax City","17733"
"22911","Charlottesville","Albemarle","17732"
"23901","Farmville","Prince Edward","17722"
"20187","Warrenton","Fauquier","17713"
"24014","Roanoke","Roanoke City","17401"
"23430","Smithfield","Isle Of Wight","17348"
"23005","Ashland","Hanover","17020"
"24210","Abingdon","Washington","16779"
"24572","Madison Heights","Amherst","16698"
"23838","Chesterfield","Chesterfield","16399"
"23325","Chesapeake","Chesapeake City","16342"
"22546","Ruther Glen","Caroline","16242"
"24201","Bristol","Bristol","16141"
"23226","Richmond","Henrico","16071"
"22963","Palmyra","Fluvanna","16014"
"24450","Lexington","Lexington City","15936"
"22603","Winchester","Frederick","15921"
"22026","Dumfries","Prince William","15845"
"20124","Clifton","Fairfax","15761"
"23847","Emporia","Emporia City","15334"
"22181","Vienna","Fairfax","15299"
"23707","Portsmouth","Portsmouth City","15253"
"24015","Roanoke","Roanoke City","15209"
"20186","Warrenton","Fauquier","15049"
"22553","Spotsylvania","Spotsylvania","14945"
"23221","Richmond","Richmond City","14933"
"22303","Alexandria","Fairfax","14504"
"24354","Marion","Smyth","14334"
"24301","Pulaski","Pulaski","14224"
"22508","Locust Grove","Orange","14147"
"23605","Newport News","Newport News City","13892"
"23511","Norfolk","Norfolk City","13883"
"23663","Hampton","Hampton City","13832"
"23093","Louisa","Louisa","13712"
"23509","Norfolk","Norfolk City","13671"
"23836","Chester","Chesterfield","13601"
"24426","Covington","Covington City","13585"
"22301","Alexandria","Alexandria City","13569"
"22044","Falls Church","Fairfax","13489"
"24055","Bassett","Henry","13420"
"24382","Wytheville","Wythe","13420"
"24592","South Boston","Halifax","13393"
"22308","Alexandria","Fairfax","13335"
"23851","Franklin","Franklin City","13262"
