"zip","city","county","pop"
"24595","Sweet Briar","Amherst","612"
"24613","Falls Mills","Tazewell","605"
"23889","Warfield","Brunswick","605"
"24270","Mendota","Washington","603"
"23110","Mattaponi","King And Queen","590"
"24318","Ceres","Bland","585"
"24483","Vesuvius","Rockbridge","579"
"23968","Skipwith","Mecklenburg","577"
"23307","Birdsnest","Northampton","570"
"22640","Huntly","Rappahannock","566"
"24185","Woolwine","Patrick","563"
"22639","Hume","Fauquier","562"
"24351","Lambsburg","Carroll","558"
"24484","Warm Springs","Bath","554"
"23843","Dolphin","Brunswick","552"
"22535","Port Royal","Caroline","542"
"23138","Port Haywood","Mathews","534"
"23395","Horntown","Accomack","532"
"24459","Middlebrook","Augusta","527"
"23440","Tangier","Accomack","524"
"24221","Blackwater","Lee","519"
"23844","Drewryville","Southampton","519"
"24580","Nelson","Mecklenburg","501"
"23023","Bruington","King And Queen","498"
"24161","Sandy Level","Pittsylvania","484"
"23337","Wallops Island","Accomack","482"
"23894","Wilsons","Dinwiddie","481"
"24562","Howardsville","Albemarle","479"
"22641","Strasburg","Shenandoah","479"
"23651","Fort Monroe","Hampton City","476"
"23708","Portsmouth","Portsmouth City","476"
"23177","Walkerton","King And Queen","475"
"24634","Pilgrims Knob","Buchanan","474"
"23962","Randolph","Charlotte","472"
"23056","Foster","Mathews","471"
"23845","Ebony","Brunswick","457"
"22436","Caret","Essex","451"
"23909","Farmville","Prince Edward","448"
"24132","Parrott","Pulaski","445"
"24011","Roanoke","Roanoke City","443"
"23316","Cheriton","Northampton","440"
"22548","Sharps","Richmond","440"
"22504","Laneview","Essex","439"
"23461","Virginia Beach","Virginia Beach City","430"
"24474","Selma","Alleghany","429"
"24139","Pittsville","Pittsylvania","423"
"24269","Mc Clure","Dickenson","413"
"23897","Yale","Sussex","403"
"24292","Whitetop","Grayson","393"
"22433","Burr Hill","Orange","390"
"23887","Valentines","Brunswick","387"
"22476","Hustle","Essex","385"
"23070","Hardyville","Middlesex","381"
"22972","Somerset","Orange","377"
"23119","Moon","Mathews","370"
"23934","Cullen","Charlotte","370"
"24628","Maxie","Buchanan","367"
"24246","East Stone Gap","Wise","366"
"24168","Stanleytown","Henry","361"
"23938","Dundas","Lunenburg","360"
"24458","Mc Dowell","Highland","356"
"22438","Champlain","Essex","348"
"23130","Onemo","Mathews","336"
"23176","Wake","Middlesex","331"
"22964","Piney River","Nelson","330"
"22931","Covesville","Albemarle","324"
"23899","Claremont","Surry","323"
"24487","Williamsville","Bath","322"
"23488","Withams","Accomack","321"
"23480","Wachapreague","Accomack","314"
"24657","Whitewood","Buchanan","308"
"24377","Tannersville","Tazewell","306"
"23032","Church View","Middlesex","304"
"23401","Keller","Accomack","304"
"23423","Quinby","Accomack","303"
"24105","Indian Valley","Floyd","297"
"23079","Jamaica","Middlesex","297"
"22943","Greenwood","Albemarle","295"
"23126","Newtown","King And Queen","295"
"24607","Breaks","Dickenson","295"
"22743","Syria","Madison","291"
"23828","Branchville","Southampton","287"
"24167","Staffordsville","Giles","285"
"24432","Deerfield","Augusta","284"
"24217","Bee","Dickenson","284"
"23876","Rawlings","Brunswick","277"
"22643","Markham","Fauquier","273"
"22719","Etlan","Madison","271"
"23302","Assawoman","Accomack","268"
"23025","Cardinal","Mathews","266"
"24536","Coleman Falls","Bedford","259"
"23064","Grimstead","Mathews","258"
"23389","Harborton","Accomack","258"
"24448","Iron Gate","Alleghany","257"
"23125","New Point","Mathews","255"
"23416","Oak Hall","Accomack","253"
"22749","Woodville","Rappahannock","243"
"24457","Low Moor","Alleghany","240"
"24485","West Augusta","Augusta","240"
"23187","Williamsburg","Williamsburg City","239"
"24604","Bishop","Tazewell","237"
"24612","Doran","Tazewell","229"
"23108","Mascot","King And Queen","222"
"23893","White Plains","Brunswick","222"
"22820","Criders","Rockingham","219"
"23427","Saxis","Accomack","216"
"23952","Lunenburg","Lunenburg","215"
"22432","Burgess","Northumberland","213"
"20130","Paris","Fauquier","212"
"22722","Haywood","Madison","209"
"22946","Keene","Albemarle","208"
"24239","Davenport","Buchanan","206"
"20139","Casanova","Fauquier","203"
"22732","Radiant","Madison","195"
"23409","Mears","Accomack","194"
"24413","Blue Grass","Highland","188"
"23068","Hallieford","Mathews","176"
"23021","Bohannon","Mathews","176"
"22730","Oakpark","Madison","175"
"23414","Nelsonia","Accomack","175"
"24606","Boissevain","Tazewell","170"
"24476","Steeles Tavern","Augusta","169"
"23161","Stevensville","King And Queen","158"
"22529","Oldhams","Westmoreland","155"
"22948","Locust Dale","Madison","154"
"23422","Pungoteague","Accomack","153"
"23354","Franktown","Northampton","149"
"24086","Eggleston","Giles","148"
"22741","Stevensburg","Culpeper","147"
"24464","Montebello","Nelson","146"
"23691","Yorktown","York","142"
"24322","Cripple Creek","Wythe","138"
"24093","Glen Lyn","Giles","137"
"23115","Millers Tavern","Essex","135"
"24058","Belspring","Pulaski","135"
"23066","Gwynn","Mathews","133"
"23045","Diggs","Mathews","129"
"23441","Tasley","Accomack","122"
"24539","Crystal Hill","Halifax","121"
"23963","Red House","Charlotte","121"
"22646","Millwood","Clarke","116"
"23091","Little Plymouth","King And Queen","109"
"22723","Hood","Madison","109"
"24433","Doe Hill","Highland","104"
"23313","Capeville","Northampton","103"
"24442","Head Waters","Highland","98"
"22579","Wicomico Church","Northumberland","88"
"23358","Hacksneck","Accomack","85"
"23943","Hampden Sydney","Prince Edward","84"
"23163","Susan","Mathews","81"
"23426","Sanford","Accomack","80"
"22538","Rappahannock Academy","Caroline","78"
"23408","Marionville","Northampton","77"
"24411","Augusta Springs","Augusta","70"
"23976","Wylliesburg","Charlotte","53"
"24131","Paint Bank","Craig","46"
"22530","Ophelia","Northumberland","45"
"24581","Norwood","Nelson","44"
"22509","Loretto","Essex","40"
"23304","Battery Park","Isle Of Wight","40"
"23486","Willis Wharf","Northampton","39"
"23884","Sussex","Sussex","33"
"24415","Brownsburg","Rockbridge","32"
"22731","Pratts","Madison","30"
"23398","Jamesville","Northampton","26"
"24412","Bacova","Bath","25"
"24601","Amonate","Tazewell","25"
"22711","Banco","Madison","23"
"24130","Oriskany","Botetourt","19"
"22989","Woodberry Forest","Madison","15"
"22845","Orkney Springs","Shenandoah","9"
"20118","Middleburg","Loudoun","8"
"24570","Lowry","Bedford","6"
"22035","Fairfax","Fairfax","0"
"23250","Richmond","Henrico","0"
"22185","Vienna","Fairfax","0"
"22214","Arlington","Arlington","0"
"24316","Broadford","Smyth","0"
